Column,Question
Respondent,Respondent ID number
Professional,Which of the following best describes you?
ProgramHobby,Do you program as a hobby or contribute to open source projects?
Country,In which country do you currently live?
University,"Are you currently enrolled in a formal, degree-granting college or university program?"
EmploymentStatus,Which of the following best describes your current employment status?
FormalEducation,Which of the following best describes the highest level of formal education that you've completed?
MajorUndergrad,Which of the following best describes your main field of study (aka 'major') in college or university/for your undergraduate studies?
HomeRemote,How often do you work from home or remotely?
CompanySize,"In terms of the number of employees, how large is the company or organization you work for?"
CompanyType,Which of the following best describes the type of company or organization you work for?
YearsProgram,How long has it been since you first learned how to program?
YearsCodedJob,For how many years have you coded as part of your job?
YearsCodedJobPast,For how many years did you code as part of your job?
DeveloperType,Which of the following best describe you?
WebDeveloperType,Which of the following best describes you as a Web developer?
MobileDeveloperType,For which of the following platforms do you develop mobile applications?
NonDeveloperType,Which of the following describe you?
CareerSatisfaction,Career satisfaction rating
JobSatisfaction,Job satisfaction rating
PronounceGIF,"How do you pronounce ""GIF""?"
ProblemSolving,I love solving problems
BuildingThings,Building things is very rewarding
LearningNewTech,Learning new technologies is fun
BoringDetails,I tend to get bored by implementation details
JobSecurity,Job security is important to me
DiversityImportant,Diversity in the workplace is important
AnnoyingUI,It annoys me when software has a poor UI
FriendsDevelopers,"Most of my friends are developers, engineers, or scientists"
RightWrongWay,There's a right and a wrong way to do everything
UnderstandComputers,"Honestly, there's a lot about computers that I just don't understand"
SeriousWork,I take my work very seriously
InvestTimeTools,I invest a lot of time into the tools I use
WorkPayCare,"I don't really care what I work on, so long as I'm paid well"
KinshipDevelopers,I feel a sense of kinship to other developers
ChallengeMyself,I like to challenge myself
CompetePeers,I think of myself as competing with my peers
ChangeWorld,I want to change the world
JobSeekingStatus,Which of the following best describes your current job-seeking status?
HoursPerWeek,"During a typical week, approximately how many hours do you spend on activities related to finding new job opportunities?Please adjust the slider to the appropriate number of hours. The box to the right will indicate the number of hours you have chosen."
LastNewJob,When was the last time that you took a job with a new employer?
ImportantBenefits,"When it comes to compensation and benefits, other than base salary, which of the following are most important to you?"
ClickyKeys,"If two developers are sharing an office, is it OK for one of them to get a mechanical keyboard with loud ""clicky"" keys?"
JobProfile,"On which of the following sites do you maintain a profile, CV, or resumé?"
ResumePrompted,"Think back to the last time you updated your resumé, CV, or an online profile on a job site. What prompted you to do so?"
LearnedHiring,Think back to when you first applied to work for your current employer. Which of the following best describes how you learned that they were hiring for that particular job?
Currency,"Which currency do you use day-to-day? If you're a globe-trotting digital nomad and the answer is “it's complicated,” please pick the one you're most comfortable estimating in."
Overpaid,"Compared to your estimate of your own market value, do you think you are…?"
TabsSpaces,Tabs or spaces?
EducationImportant,"Overall, how important has your formal schooling and education been to your career success?"
EducationTypes,"Outside of your formal schooling and education, which of the following have you done?"
SelfTaughtTypes,"You indicated that you had taught yourself a programming technology without taking a course. What resources did you use to do that? If you've done it more than once, please think about the most recent time you've done so."
TimeAfterBootcamp,You indicated previously that you went through a developer “bootcamp.” How long did it take you to get a full-time job as a developer after graduating?
CousinEducation,"Let's pretend you have a distant cousin. They are 24 years old, have a college degree in a field not related to computer programming, and have been working a non-coding job for the last two years. They want your advice on how to switch to a career as a software developer. Which of the following options would you most strongly recommend to your cousin?
Let's pretend you have a distant cousin named Robert. He is 24 years old, has a college degree in a field not related to computer programming, and has been working a non-coding job for the last two years. He wants your advice on how to switch to a career as a software developer. Which of the following options would you most strongly recommend to Robert?
Let's pretend you have a distant cousin named Alice. She is 24 years old, has a college degree in a field not related to computer programming, and has been working a non-coding job for the last two years. She wants your advice on how to switch to a career as a software developer. Which of the following options would you most strongly recommend to Alice?"
WorkStart,Suppose you could choose your own working hours for an 8-hour day. What time would you start work for the day? Please adjust the slider to the hour nearest your ideal start time. The box next to the slider will display your selection using a 24-hour clock
HaveWorkedLanguage,"Which of the following languages have you done extensive development work in over the past year, and which do you want to work in over the next year?"
WantWorkLanguage,"Which of the following languages have you done extensive development work in over the past year, and which do you want to work in over the next year?"
HaveWorkedFramework,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?"
WantWorkFramework,"Which of the following libraries, frameworks, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year?"
HaveWorkedDatabase,"Which of the following database technologies have you done extensive development work in over the past year, and which do you want to work in over the next year?"
WantWorkDatabase,"Which of the following database technologies have you done extensive development work in over the past year, and which do you want to work in over the next year?"
HaveWorkedPlatform,"Which of the following platforms have you done extensive development work for over the past year, and which do you want to work on over the next year?"
WantWorkPlatform,"Which of the following platforms have you done extensive development work for over the past year, and which do you want to work on over the next year?"
IDE,Which development environment(s) do you use regularly?
AuditoryEnvironment,"Suppose you're about to start a few hours of coding and have complete control over your auditory environment (music, background noise, etc.). What would you do?"
Methodology,Which of the following methodologies do you have experience working in?
VersionControl,"What version control system do you use? If you use several, please choose the one you use most often."
CheckInCode,"Over the last year, how often have you checked-in or committed code?"
ShipIt,It's better to ship now and optimize later
OtherPeoplesCode,Maintaining other people's code is a form of torture
ProjectManagement,Most project management techniques are useless
EnjoyDebugging,I enjoy debugging code
InTheZone,I often get “into the zone” when I'm coding
DifficultCommunication,I have difficulty communicating my ideas to my peers
CollaborateRemote,It's harder to collaborate with remote peers than those on site
MetricAssess,"Congratulations! The bosses at your new employer, E Corp, are allowing you to choose which metrics will be used to assess your individual performance in your role as a senior developer. Which metrics do you suggest to the E bosses?"
Gender,Which of the following do you currently identify as?
HighestEducationParents,What is the highest level of education received by either of your parents?
Race,Which of the following do you identify as?
SurveyLong,This survey was too long
QuestionsInteresting,The questions were interesting
QuestionsConfusing,The questions were confusing
InterestedAnswers,I'm interested in learning how other developers answered
Salary,"What is your current annual base salary, before taxes, and excluding bonuses, grants, or other compensation?"
ExpectedSalary,"You said before that you are currently learning how to program. When you have completed your studies, what annual salary do you expect to earn in your first job after graduation?"
